iter	Logloss
170	0.6818250604
171	0.6818197336
172	0.6818128175
173	0.6818076201
174	0.6818024839
175	0.6817951843
176	0.681790218
177	0.6817831443
178	0.6817790777
179	0.6817719902
180	0.6817638764
181	0.6817586873
182	0.6817516914
183	0.6817476693
184	0.6817408114
185	0.6817363116
186	0.681721327
187	0.681717859
188	0.6817131368
189	0.6817076585
190	0.6817035771
191	0.6816980281
192	0.6816929208
193	0.6816861423
194	0.6816812136
195	0.6816769226
196	0.6816703142
197	0.6816665619
198	0.6816568844
199	0.6816524185
200	0.6816473085
201	0.6816424161
202	0.6816367047
203	0.6816312125
204	0.6816271531
205	0.6816184408
206	0.6816091187
207	0.6816038442
208	0.6815984686
209	0.6815873803
210	0.6815830937
211	0.6815756388
212	0.6815704449
213	0.681566084
214	0.6815582908
215	0.6815529023
216	0.6815487172
217	0.6815430085
218	0.6815380677
219	0.6815330728
220	0.6815260332
221	0.6815208021
222	0.6815160901
223	0.6815125515
224	0.6815066435
225	0.6815039736
226	0.6814991719
227	0.6814952306
228	0.6814865169
229	0.6814820049
230	0.6814731292
231	0.6814694063
232	0.6814643458
233	0.6814574874
234	0.6814472627
235	0.6814432082
236	0.6814373039
237	0.6814331233
238	0.6814289175
239	0.6814256413
240	0.6814221336
241	0.6814192707
242	0.6814131004
243	0.6814049303
244	0.6814015868
245	0.6813968745
246	0.6813927178
247	0.6813870914
248	0.6813825049
249	0.6813791798
250	0.6813744552
251	0.6813670362
252	0.6813629836
253	0.6813567119
254	0.681351452
255	0.6813474721
256	0.6813436458
257	0.6813367019
258	0.6813322127
259	0.6813296215
260	0.6813259029
261	0.681321299
262	0.6813175213
263	0.6813076325
264	0.6813000809
265	0.6812962243
266	0.6812917411
267	0.6812892643
268	0.6812845088
269	0.6812816752
270	0.6812778824
271	0.6812735474
272	0.6812693762
273	0.6812658322
274	0.681256686
275	0.6812540775
276	0.6812465832
277	0.681243124
278	0.6812399107
279	0.6812368028
280	0.6812327405
281	0.6812291364
282	0.6812248502
283	0.6812201174
284	0.6812144567
285	0.6812112418
286	0.6812075806
287	0.6812025671
288	0.6812008327
289	0.6811931986
290	0.6811894531
291	0.6811868151
292	0.6811839038
293	0.6811793494
294	0.6811747304
295	0.6811709909
296	0.6811664565
297	0.6811641383
298	0.6811624264
299	0.6811589425
300	0.6811541821
301	0.6811505421
302	0.6811455133
303	0.681142781
304	0.681139159
305	0.6811329591
306	0.6811297685
307	0.6811259752
308	0.6811215181
309	0.6811181302
310	0.6811132322
311	0.6811090596
312	0.6811069137
313	0.6811026753
314	0.6810996845
315	0.6810971598
316	0.6810919364
317	0.6810871397
318	0.681081661
319	0.6810791755
320	0.6810760892
321	0.6810725598
322	0.6810679024
323	0.6810634024
324	0.6810590877
325	0.6810536156
326	0.6810505612
327	0.6810476468
328	0.6810437265
329	0.6810396627
330	0.6810341144
331	0.6810302187
332	0.6810258174
333	0.6810227133
334	0.6810186196
335	0.6810145119
336	0.6810105439
337	0.6810046911
338	0.681002412
339	0.6809985998
340	0.6809958156
341	0.6809931711
342	0.6809897956
343	0.6809846822
344	0.6809769302
345	0.6809742726
346	0.6809712945
347	0.6809684298
348	0.6809648894
349	0.6809620947
350	0.6809588282
351	0.6809546022
352	0.6809506587
353	0.6809483262
354	0.6809461358
355	0.6809433738
356	0.6809402765
357	0.6809368792
358	0.6809336075
359	0.6809318675
360	0.680928768
361	0.6809250295
362	0.680919801
363	0.6809178586
364	0.680914443
365	0.680910018
366	0.6809076371
367	0.680903303
368	0.6808997298
369	0.6808966016
370	0.6808917104
371	0.6808882052
372	0.6808846197
373	0.6808790013
374	0.6808750015
375	0.6808711768
376	0.6808700208
377	0.6808650074
378	0.6808638586
379	0.6808616982
380	0.6808584263
381	0.6808568262
382	0.6808536582
383	0.6808507033
384	0.6808484898
385	0.6808453497
386	0.680841026
387	0.6808378175
388	0.6808349684
389	0.680830623
390	0.6808251731
391	0.680821235
392	0.6808181605
393	0.6808144556
394	0.6808098082
395	0.6808070006
396	0.6808037514
397	0.6808006921
398	0.6807982478
399	0.6807953157
400	0.6807921887
401	0.6807889432
402	0.6807853087
403	0.6807817013
404	0.6807775064
405	0.6807726502
406	0.6807711401
407	0.6807679176
408	0.6807650075
409	0.6807619051
410	0.6807595019
411	0.6807565647
412	0.6807531798
413	0.6807475447
414	0.6807436946
415	0.6807405487
416	0.6807366391
417	0.6807366391
418	0.6807333268
419	0.6807302001
420	0.6807270933
421	0.680723265
422	0.6807184542
423	0.6807160007
424	0.6807118944
425	0.680709119
426	0.6807056664
427	0.6807014985
428	0.6806990613
429	0.6806948832
430	0.6806924806
431	0.6806895108
432	0.6806865512
433	0.680682342
434	0.6806791876
435	0.680676432
436	0.6806742819
437	0.6806722753
438	0.6806698408
439	0.6806668685
440	0.6806647118
441	0.6806627546
442	0.6806588948
443	0.6806568855
444	0.6806525298
445	0.6806485099
446	0.6806482848
447	0.6806464017
448	0.6806440994
449	0.6806411742
450	0.6806397937
451	0.680636755
452	0.6806337798
453	0.6806324173
454	0.6806287768
455	0.680624529
456	0.6806244168
457	0.6806197993
458	0.6806172914
459	0.6806157368
460	0.6806119374
461	0.6806086118
462	0.6806060111
463	0.680603513
464	0.6806010353
465	0.6805975432
466	0.6805940713
467	0.6805912373
468	0.6805871889
469	0.6805839684
470	0.680581073
471	0.6805765744
472	0.680573975
473	0.680570211
474	0.6805659579
475	0.6805643654
476	0.6805626551
477	0.6805589902
478	0.6805562947
479	0.6805543587
480	0.6805499864
481	0.6805485387
482	0.6805438518
483	0.6805414484
484	0.6805378788
485	0.6805338356
486	0.6805307414
487	0.6805267525
488	0.6805198419
489	0.6805166052
490	0.6805114948
491	0.68050774
492	0.6805047786
493	0.6805009659
494	0.6804950926
495	0.6804924963
496	0.6804893027
497	0.6804868765
498	0.6804833774
499	0.6804799523
